Amount,Payment_Method,Merchant_Category,Is_International,Device_Type,Account_Age_Months,Previous_Fraud,Fraud
6792.73,UPI,Electronics,0,Desktop,39,0,0
7119.94,Net Banking,Bills,0,Mobile,1,0,0
776.06,Debit Card,Bills,1,Mobile,57,0,0
5111.49,Debit Card,Bills,1,Mobile,41,1,1
1090.59,Credit Card,Electronics,1,Desktop,6,1,1
2144.63,UPI,Shopping,1,Mobile,9,1,1
1989.77,Net Banking,Food,1,Desktop,33,1,0
383.04,UPI,Bills,1,Desktop,44,0,0
839.64,Debit Card,Bills,0,Desktop,59,1,0
1171.15,UPI,Shopping,0,Desktop,32,0,0
2450.03,Net Banking,Shopping,0,Mobile,52,0,0
1355.92,Debit Card,Travel,0,Mobile,49,1,0
878.75,Credit Card,Shopping,1,Desktop,12,1,1
870.18,Credit Card,Electronics,0,Desktop,2,0,0
3737.2,Wallet,Shopping,0,Mobile,37,0,0
1005.75,Debit Card,Travel,0,Desktop,17,1,1
930.93,Wallet,Electronics,0,Desktop,2,1,1
2095.56,UPI,Electronics,0,Mobile,54,1,0
100.83,Wallet,Shopping,1,Mobile,32,1,1
7166.58,Debit Card,Shopping,1,Desktop,19,0,0
3424.92,Net Banking,Travel,1,Desktop,53,0,0
2016.82,UPI,Bills,1,Desktop,32,1,1
2414.87,Wallet,Travel,1,Mobile,55,0,0
3345.47,Wallet,Travel,1,Mobile,11,1,1
1384.46,UPI,Bills,1,Desktop,17,0,0
3908.25,UPI,Travel,1,Mobile,24,1,1
1906.34,Net Banking,Food,0,Desktop,34,0,0
3011.51,Net Banking,Food,1,Desktop,11,0,1
5085.51,Wallet,Bills,0,Desktop,16,1,0
5410.93,Credit Card,Travel,1,Desktop,59,1,1
619.3,Wallet,Electronics,0,Desktop,29,1,0
5863.37,Credit Card,Food,1,Mobile,59,1,1
746.31,Net Banking,Electronics,0,Desktop,26,1,0
2152.89,UPI,Shopping,0,Mobile,19,0,0
1286.2,Debit Card,Shopping,1,Desktop,7,0,0
574.81,Net Banking,Bills,1,Mobile,33,0,0
1520.36,Credit Card,Electronics,0,Desktop,39,0,0
8281.03,Wallet,Electronics,0,Desktop,1,1,1
3378.17,Debit Card,Electronics,0,Desktop,57,1,0
361.33,Net Banking,Travel,0,Desktop,23,1,1
2339.04,Wallet,Bills,1,Mobile,42,0,0
894.98,UPI,Shopping,1,Desktop,16,1,0
5098.45,Wallet,Travel,0,Desktop,57,1,0
2180.96,Wallet,Bills,1,Desktop,49,1,1
830.63,UPI,Electronics,1,Mobile,48,1,1
10093.38,Net Banking,Food,1,Mobile,5,1,1
6920.32,Wallet,Electronics,0,Desktop,59,1,1
627.38,Credit Card,Food,1,Mobile,41,0,0
1288.7,Credit Card,Electronics,0,Desktop,48,0,0
5625.32,UPI,Travel,0,Desktop,20,0,0
6543.4,Net Banking,Shopping,1,Desktop,56,1,1
6561.62,Wallet,Food,1,Mobile,52,1,1
263.68,UPI,Electronics,1,Desktop,8,0,1
4616.11,UPI,Food,0,Desktop,40,0,0
2797.48,Credit Card,Electronics,0,Mobile,35,0,0
1397.0,UPI,Travel,1,Desktop,25,0,1
3267.49,Wallet,Bills,1,Desktop,29,0,1
1001.89,Wallet,Travel,1,Desktop,46,0,1
2387.09,Credit Card,Food,0,Desktop,54,1,1
1784.93,Credit Card,Travel,1,Desktop,41,1,1
580.48,Net Banking,Food,1,Mobile,4,1,1
812.47,Debit Card,Electronics,0,Desktop,21,1,0
591.05,Debit Card,Shopping,0,Mobile,56,1,0
3146.32,UPI,Bills,0,Desktop,7,1,0
3828.98,Wallet,Bills,1,Desktop,33,1,0
2346.2,Debit Card,Electronics,1,Desktop,59,0,1
1375.25,UPI,Travel,1,Desktop,55,1,1
864.89,UPI,Shopping,1,Desktop,30,1,1
10836.93,Wallet,Electronics,0,Mobile,45,1,1
2000.93,Credit Card,Travel,0,Desktop,8,1,0
2992.0,UPI,Electronics,1,Mobile,34,0,0
1292.71,Wallet,Electronics,0,Desktop,33,0,0
2580.47,UPI,Food,0,Desktop,33,0,0
651.64,Net Banking,Electronics,0,Desktop,48,0,0
988.73,UPI,Bills,1,Mobile,35,0,0
4390.23,Credit Card,Bills,0,Desktop,17,1,1
15636.7,Wallet,Travel,1,Mobile,30,0,1
9232.69,Debit Card,Travel,0,Mobile,53,1,0
6449.44,Credit Card,Food,0,Mobile,41,1,1
9177.41,Debit Card,Travel,1,Mobile,29,0,0
1676.81,Net Banking,Electronics,0,Mobile,53,0,0
2547.95,Debit Card,Shopping,0,Mobile,33,0,0
235.01,Debit Card,Shopping,0,Desktop,21,1,1
635.54,Wallet,Food,0,Mobile,33,1,1
1143.44,Wallet,Electronics,0,Desktop,18,0,0
2441.21,Debit Card,Electronics,0,Mobile,31,1,1
5577.8,UPI,Food,1,Desktop,3,1,1
2532.34,Net Banking,Electronics,0,Mobile,24,1,1
703.06,UPI,Shopping,0,Desktop,47,1,0
13831.71,Credit Card,Electronics,0,Desktop,2,0,1
879.75,Credit Card,Shopping,0,Mobile,42,0,0
6295.83,Wallet,Travel,1,Mobile,17,0,0
5664.87,Debit Card,Electronics,1,Mobile,9,1,1
3636.86,Debit Card,Bills,0,Desktop,48,0,0
2414.38,Credit Card,Electronics,1,Desktop,42,0,0
4972.12,Debit Card,Travel,1,Mobile,35,0,0
887.98,Net Banking,Shopping,0,Mobile,24,1,0
7333.85,Net Banking,Shopping,0,Mobile,58,0,0
15.6,UPI,Bills,1,Desktop,36,0,1
4802.85,Credit Card,Travel,0,Mobile,1,0,1
220.75,Net Banking,Shopping,1,Mobile,46,0,0
4765.86,Debit Card,Food,1,Desktop,12,1,1
6530.96,UPI,Bills,0,Mobile,15,0,0
1412.81,Credit Card,Travel,0,Mobile,2,0,0
1731.29,Wallet,Travel,1,Mobile,22,1,1
1193.17,Net Banking,Travel,1,Desktop,58,1,1
2346.88,Net Banking,Electronics,1,Desktop,22,1,0
2680.9,UPI,Electronics,0,Desktop,22,1,1
864.05,UPI,Travel,1,Desktop,42,0,1
5188.05,Wallet,Food,0,Desktop,54,1,1
2310.62,Debit Card,Food,0,Mobile,37,1,1
2215.96,UPI,Shopping,0,Desktop,53,0,0
950.48,UPI,Bills,1,Desktop,44,0,1
2925.66,Debit Card,Food,0,Mobile,4,0,1
5535.92,Wallet,Electronics,1,Desktop,32,1,1
2273.73,Credit Card,Electronics,0,Desktop,47,0,0
3607.04,Debit Card,Shopping,1,Mobile,40,0,0
3884.88,Credit Card,Shopping,0,Desktop,13,1,1
10473.71,UPI,Electronics,0,Desktop,42,0,0
1170.06,Net Banking,Bills,0,Mobile,17,1,1
1526.59,Wallet,Food,0,Mobile,19,0,0
1733.95,UPI,Food,0,Desktop,55,1,0
866.49,Wallet,Travel,1,Desktop,26,0,0
9862.14,Debit Card,Food,1,Mobile,23,0,0
1677.5,Credit Card,Travel,1,Desktop,12,1,0
1577.58,UPI,Bills,0,Mobile,58,1,1
7402.86,Debit Card,Shopping,1,Desktop,47,1,1
864.02,Net Banking,Bills,0,Mobile,54,0,0
3761.55,Debit Card,Bills,0,Mobile,40,1,1
8182.34,Debit Card,Travel,1,Desktop,1,1,1
9294.31,Wallet,Travel,1,Mobile,39,1,1
3211.05,Credit Card,Electronics,0,Desktop,5,1,0
2838.09,Net Banking,Bills,1,Desktop,55,1,1
146.68,Debit Card,Travel,1,Mobile,26,1,1
1320.04,Credit Card,Electronics,0,Mobile,37,1,1
384.06,Credit Card,Food,0,Desktop,29,0,0
370.14,Debit Card,Electronics,0,Desktop,5,1,0
296.67,Credit Card,Bills,1,Desktop,30,1,1
5802.61,UPI,Travel,0,Desktop,52,0,0
578.32,Credit Card,Travel,1,Desktop,16,1,1
308.87,UPI,Food,0,Mobile,48,0,0
4933.84,Net Banking,Food,0,Desktop,36,0,0
570.58,Wallet,Bills,1,Mobile,30,1,0
3147.53,Net Banking,Bills,0,Desktop,58,0,0
2870.17,Credit Card,Bills,0,Desktop,5,0,0
6532.63,Net Banking,Food,1,Desktop,52,1,1
1408.15,Debit Card,Shopping,0,Desktop,58,1,0
8128.79,Net Banking,Electronics,1,Desktop,32,1,1
5824.05,Wallet,Bills,1,Desktop,5,1,1
3455.7,Credit Card,Travel,1,Desktop,16,0,0
219.55,Net Banking,Food,0,Desktop,55,1,0
8660.72,Net Banking,Food,0,Desktop,28,0,0
2644.04,UPI,Electronics,0,Mobile,27,0,0
4842.59,Debit Card,Shopping,0,Mobile,12,0,0
1473.9,UPI,Travel,0,Mobile,33,1,1
1838.87,Debit Card,Food,0,Desktop,51,0,0
5155.07,Net Banking,Food,0,Mobile,12,0,0
1463.78,Debit Card,Electronics,0,Mobile,33,1,1
3162.22,Credit Card,Travel,1,Mobile,43,0,1
653.69,Net Banking,Travel,0,Mobile,13,0,0
724.64,Wallet,Shopping,0,Desktop,46,0,0
55.17,Debit Card,Electronics,1,Mobile,51,1,0
2889.0,Credit Card,Food,0,Desktop,23,1,0
221.55,Debit Card,Food,1,Mobile,8,0,0
1460.33,Net Banking,Travel,1,Desktop,10,1,1
70.64,Debit Card,Travel,0,Desktop,34,1,0
906.13,Wallet,Shopping,0,Mobile,7,0,0
377.25,Wallet,Travel,1,Desktop,53,1,0
1284.68,Credit Card,Shopping,0,Mobile,11,1,0
6298.25,Net Banking,Travel,1,Desktop,36,1,1
1623.58,UPI,Electronics,0,Desktop,57,0,0
2382.03,UPI,Shopping,0,Mobile,37,1,1
4166.27,Credit Card,Travel,1,Desktop,35,1,0
13971.01,Debit Card,Food,1,Mobile,48,1,1
409.83,Wallet,Shopping,1,Mobile,49,0,0
4493.86,Net Banking,Bills,1,Mobile,24,0,1
6054.85,Net Banking,Shopping,0,Desktop,32,1,1
5864.52,Net Banking,Bills,1,Mobile,49,0,0
3416.85,Wallet,Travel,1,Desktop,23,0,0
4213.9,Net Banking,Bills,0,Desktop,41,1,1
1423.14,Net Banking,Food,0,Desktop,49,0,0
2111.12,Wallet,Travel,1,Desktop,48,0,1
1481.01,Net Banking,Shopping,1,Mobile,13,1,1
6776.37,Debit Card,Shopping,1,Mobile,49,0,0
164.91,Net Banking,Travel,0,Desktop,41,1,0
5634.76,Credit Card,Food,1,Desktop,9,0,1
1153.96,Credit Card,Bills,1,Mobile,14,1,1
3388.17,Credit Card,Food,1,Mobile,52,0,1
2555.99,Wallet,Food,1,Mobile,47,1,0
260.87,Debit Card,Shopping,0,Mobile,5,0,0
1041.07,Wallet,Bills,1,Mobile,25,0,0
2420.31,Wallet,Electronics,1,Mobile,21,0,0
4187.51,Debit Card,Shopping,1,Mobile,23,0,0
4560.11,Credit Card,Food,1,Desktop,39,1,1
286.91,Debit Card,Food,1,Mobile,42,0,0
10977.75,Credit Card,Travel,1,Mobile,14,1,1
2392.38,Credit Card,Shopping,0,Desktop,5,1,0
4007.21,Credit Card,Shopping,0,Mobile,29,1,0
1296.57,Debit Card,Food,1,Mobile,18,0,1
10387.81,Debit Card,Electronics,0,Desktop,9,1,1
4300.29,UPI,Food,1,Desktop,44,1,0
6049.26,UPI,Food,0,Mobile,38,1,0
263.57,Net Banking,Shopping,0,Desktop,13,1,1
755.31,Net Banking,Food,1,Mobile,9,0,0
5175.56,Wallet,Shopping,0,Desktop,58,1,1
475.6,Wallet,Shopping,0,Desktop,29,0,0
265.96,Wallet,Shopping,0,Desktop,19,0,0
2611.84,Debit Card,Shopping,0,Desktop,45,1,1
1389.17,Wallet,Shopping,1,Desktop,52,0,0
810.25,Credit Card,Food,0,Mobile,7,1,0
12806.32,Debit Card,Bills,1,Desktop,4,1,1
1293.36,UPI,Bills,0,Desktop,31,0,0
1971.41,Net Banking,Bills,1,Desktop,44,0,0
2452.08,Debit Card,Shopping,0,Desktop,27,1,0
857.95,UPI,Food,0,Desktop,19,0,0
353.64,Credit Card,Electronics,1,Mobile,3,0,1
877.81,Debit Card,Bills,0,Mobile,50,1,1
1897.06,Debit Card,Bills,0,Desktop,58,0,0
4052.48,Wallet,Food,0,Mobile,8,0,0
375.08,Net Banking,Travel,1,Desktop,41,1,1
4090.21,Net Banking,Travel,0,Desktop,3,0,0
2626.66,UPI,Shopping,1,Mobile,57,0,0
1409.39,Debit Card,Shopping,1,Mobile,49,0,0
259.59,Debit Card,Bills,1,Mobile,33,1,1
759.25,Wallet,Travel,1,Desktop,6,0,1
4860.12,Credit Card,Shopping,1,Mobile,45,0,0
10507.58,Debit Card,Electronics,1,Mobile,47,0,0
6653.16,Debit Card,Electronics,0,Mobile,54,1,0
7756.57,Wallet,Electronics,0,Mobile,37,1,1
875.03,Debit Card,Shopping,0,Desktop,19,1,1
10450.73,Credit Card,Shopping,0,Desktop,18,1,0
545.34,Net Banking,Shopping,1,Mobile,49,1,1
3569.7,Credit Card,Electronics,0,Mobile,31,0,0
16440.51,UPI,Bills,1,Mobile,54,1,1
2633.48,Credit Card,Travel,0,Desktop,16,0,0
4007.95,Credit Card,Shopping,0,Mobile,11,0,0
989.53,Debit Card,Electronics,0,Desktop,32,0,0
178.82,Wallet,Food,1,Mobile,38,0,1
1824.53,Debit Card,Travel,0,Mobile,28,1,0
1226.88,Debit Card,Shopping,0,Mobile,58,1,0
625.21,Credit Card,Travel,0,Desktop,26,0,0
1474.38,UPI,Electronics,1,Mobile,50,0,0
927.49,Credit Card,Electronics,1,Desktop,37,1,0
10994.88,Credit Card,Food,1,Desktop,27,1,1
3593.59,Debit Card,Travel,0,Desktop,17,0,0
984.53,Debit Card,Shopping,1,Mobile,53,0,1
5042.72,Debit Card,Food,0,Desktop,28,1,0
948.07,Net Banking,Shopping,0,Mobile,13,1,0
7254.9,UPI,Food,0,Desktop,6,1,0
8975.22,Credit Card,Shopping,1,Desktop,5,0,0
2851.21,UPI,Food,1,Mobile,2,1,1
259.12,Debit Card,Bills,0,Mobile,30,0,0
6031.18,Debit Card,Electronics,0,Mobile,45,0,0
540.38,Wallet,Electronics,0,Mobile,56,0,0
1417.04,Debit Card,Food,0,Mobile,1,0,0
1963.92,Credit Card,Electronics,0,Desktop,47,0,0
489.03,Net Banking,Shopping,0,Mobile,21,0,0
4153.83,Debit Card,Shopping,1,Mobile,25,1,1
10511.13,UPI,Food,0,Desktop,27,1,1
2525.51,Debit Card,Bills,0,Mobile,33,0,0
1897.25,Net Banking,Bills,1,Mobile,35,0,0
431.1,Credit Card,Travel,1,Desktop,21,0,0
174.08,Credit Card,Electronics,1,Mobile,6,1,0
3530.19,Net Banking,Travel,0,Mobile,5,0,0
24517.34,Wallet,Food,1,Desktop,38,1,1
7331.26,UPI,Travel,1,Desktop,23,1,1
4395.85,Wallet,Electronics,1,Mobile,37,0,0
4245.08,Debit Card,Food,1,Mobile,19,1,0
852.46,Wallet,Bills,1,Desktop,14,0,0
688.41,Debit Card,Food,0,Mobile,1,1,0
9240.67,Wallet,Bills,1,Desktop,13,1,1
696.66,Wallet,Electronics,1,Desktop,1,1,1
3341.49,UPI,Food,1,Desktop,32,0,0
144.1,Credit Card,Travel,1,Desktop,31,0,0
361.62,Wallet,Travel,1,Desktop,26,1,1
2068.45,UPI,Food,0,Mobile,54,1,1
4439.42,Wallet,Bills,1,Mobile,59,0,0
1103.54,UPI,Shopping,0,Desktop,1,0,0
2408.26,Credit Card,Shopping,1,Desktop,5,0,0
277.69,Wallet,Travel,1,Desktop,59,0,0
1549.94,Wallet,Food,0,Mobile,48,1,0
1962.04,Net Banking,Food,1,Mobile,23,0,0
4221.17,Net Banking,Electronics,1,Mobile,21,0,1
3059.64,Credit Card,Electronics,0,Mobile,11,0,0
718.44,UPI,Travel,0,Desktop,38,0,0
2881.23,Net Banking,Travel,0,Mobile,34,1,1
1295.06,Credit Card,Shopping,0,Desktop,34,0,0
3037.12,Debit Card,Food,1,Desktop,15,1,0
1725.96,Net Banking,Travel,0,Desktop,34,0,0
1284.31,Net Banking,Shopping,1,Mobile,38,0,0
1798.48,Net Banking,Bills,0,Desktop,15,1,0
1515.24,Wallet,Travel,1,Desktop,55,1,1
2224.51,Credit Card,Shopping,1,Mobile,17,1,1
8958.57,Wallet,Travel,1,Desktop,4,0,0
1844.93,Net Banking,Travel,0,Mobile,17,1,1
2032.51,Debit Card,Travel,0,Mobile,20,1,1
1843.76,Debit Card,Shopping,0,Mobile,34,0,0
2909.12,Wallet,Bills,1,Desktop,2,0,0
1195.85,Credit Card,Food,1,Mobile,43,1,0
2600.0,Wallet,Shopping,1,Mobile,11,0,0
236.69,Wallet,Food,1,Desktop,57,1,1
1849.22,Credit Card,Shopping,1,Mobile,16,0,0
494.28,Net Banking,Bills,1,Desktop,54,0,0
3588.68,UPI,Food,1,Mobile,4,1,1
602.24,Debit Card,Electronics,0,Desktop,56,1,1
1591.36,Credit Card,Travel,1,Mobile,32,1,1
1927.14,UPI,Travel,0,Desktop,29,1,0
10848.04,UPI,Food,1,Mobile,58,1,1
760.22,Debit Card,Travel,1,Desktop,21,0,0
555.14,Credit Card,Electronics,0,Mobile,28,0,0
1281.38,UPI,Food,1,Mobile,22,1,1
278.66,Debit Card,Travel,0,Desktop,1,0,0
2293.44,Wallet,Shopping,0,Desktop,12,1,1
693.28,UPI,Shopping,0,Mobile,34,0,0
413.47,Debit Card,Electronics,1,Desktop,26,0,0
3517.37,Debit Card,Travel,1,Mobile,9,1,1
290.49,UPI,Bills,0,Desktop,47,0,0
2965.78,UPI,Shopping,0,Mobile,47,0,0
2150.21,Wallet,Electronics,0,Mobile,43,0,0
7610.08,Net Banking,Shopping,0,Desktop,17,0,0
972.53,Net Banking,Shopping,1,Desktop,1,0,0
264.91,UPI,Electronics,1,Desktop,35,1,1
611.94,Credit Card,Shopping,1,Mobile,15,0,0
2307.43,Credit Card,Shopping,1,Mobile,56,1,1
1987.99,Debit Card,Bills,0,Desktop,26,1,0
4280.79,Credit Card,Shopping,0,Desktop,14,1,0
1862.67,Credit Card,Electronics,0,Mobile,45,0,0
193.11,UPI,Food,1,Desktop,59,1,0
872.81,UPI,Bills,0,Desktop,7,1,0
3486.24,Wallet,Food,0,Desktop,23,0,0
2150.34,Net Banking,Shopping,0,Desktop,47,0,0
92.84,UPI,Bills,0,Mobile,18,0,0
1779.43,Credit Card,Shopping,0,Mobile,35,1,0
1518.33,Credit Card,Shopping,1,Desktop,25,0,0
4011.43,UPI,Shopping,0,Desktop,28,1,0
60.83,UPI,Electronics,0,Desktop,57,0,0
5511.09,UPI,Travel,1,Desktop,22,1,1
1190.25,Debit Card,Bills,0,Desktop,44,0,0
796.65,Wallet,Electronics,0,Desktop,13,1,1
2701.2,Wallet,Electronics,0,Mobile,4,1,0
1316.0,Credit Card,Travel,0,Desktop,41,1,1
2070.11,Credit Card,Electronics,1,Desktop,47,1,1
2632.65,Debit Card,Shopping,1,Mobile,22,0,0
2651.77,Debit Card,Travel,1,Mobile,8,1,1
2649.55,Wallet,Electronics,1,Desktop,44,1,1
409.45,Debit Card,Bills,0,Mobile,41,0,0
1234.96,Net Banking,Food,1,Desktop,52,0,0
3114.67,Net Banking,Food,0,Desktop,34,0,0
840.54,Credit Card,Shopping,1,Desktop,59,1,0
12918.59,UPI,Travel,0,Mobile,37,0,0
8140.33,UPI,Food,0,Desktop,53,1,0
322.03,Debit Card,Shopping,1,Desktop,6,0,0
1364.08,UPI,Travel,0,Mobile,48,1,1
525.49,Wallet,Electronics,1,Mobile,11,0,0
275.98,UPI,Electronics,0,Mobile,30,1,0
571.21,Credit Card,Electronics,1,Desktop,55,1,0
5541.45,Wallet,Shopping,1,Desktop,3,1,1
2230.24,Net Banking,Food,0,Mobile,40,0,0
3581.69,Debit Card,Food,0,Mobile,24,0,0
356.48,Credit Card,Shopping,1,Mobile,2,1,1
2574.05,Debit Card,Food,1,Mobile,11,1,1
6018.73,UPI,Shopping,1,Desktop,6,1,1
11074.71,Debit Card,Shopping,0,Mobile,30,1,1
562.2,UPI,Travel,0,Mobile,51,0,0
5158.79,Credit Card,Bills,0,Desktop,2,0,0
2440.95,Net Banking,Travel,0,Desktop,8,1,0
1942.34,Wallet,Travel,1,Desktop,45,0,0
4402.42,Net Banking,Bills,1,Mobile,6,1,1
10325.5,UPI,Shopping,1,Mobile,4,0,1
1662.43,UPI,Travel,1,Desktop,33,0,1
3998.23,Credit Card,Electronics,1,Mobile,12,1,1
365.95,Net Banking,Electronics,1,Desktop,26,0,1
4380.2,Credit Card,Shopping,0,Desktop,38,0,0
2611.36,Debit Card,Shopping,1,Desktop,11,0,1
8065.38,Credit Card,Electronics,0,Mobile,13,1,1
2281.64,Net Banking,Food,1,Mobile,33,1,1
1382.44,Debit Card,Electronics,0,Mobile,56,1,0
433.05,Wallet,Food,1,Desktop,23,1,1
2388.34,UPI,Travel,0,Desktop,2,1,1
1167.39,Wallet,Travel,1,Mobile,2,0,0
275.91,Credit Card,Electronics,1,Mobile,37,0,1
8.14,Net Banking,Food,0,Mobile,9,0,0
2716.34,Net Banking,Bills,1,Desktop,24,0,1
2794.99,UPI,Electronics,0,Desktop,35,1,1
1287.13,Net Banking,Bills,0,Desktop,49,0,0
5705.94,UPI,Electronics,0,Desktop,44,1,0
1575.37,UPI,Electronics,0,Mobile,53,1,0
3937.65,Net Banking,Travel,0,Mobile,9,1,0
688.25,Net Banking,Travel,0,Mobile,35,0,0
206.43,Net Banking,Bills,0,Desktop,40,1,1
3836.05,Credit Card,Travel,0,Mobile,29,1,0
451.67,Net Banking,Shopping,1,Desktop,41,1,1
4164.91,UPI,Bills,0,Mobile,30,0,0
5231.18,Wallet,Bills,1,Desktop,37,1,0
5055.31,Net Banking,Electronics,0,Desktop,59,1,0
3013.39,Debit Card,Bills,1,Desktop,4,0,0
1140.25,Net Banking,Shopping,1,Mobile,42,0,0
1494.94,Debit Card,Food,0,Mobile,40,1,0
1804.16,Net Banking,Electronics,1,Desktop,40,0,0
1419.36,Wallet,Shopping,0,Desktop,51,1,0
2935.31,Wallet,Travel,1,Desktop,33,0,0
4130.33,Net Banking,Bills,0,Mobile,15,0,0
2584.6,Wallet,Travel,1,Desktop,17,1,1
6895.02,Wallet,Food,1,Mobile,55,1,1
2276.95,Net Banking,Travel,1,Desktop,53,0,1
7108.49,Net Banking,Bills,0,Mobile,51,1,1
2348.23,Debit Card,Travel,1,Desktop,6,1,0
8431.85,Debit Card,Bills,0,Desktop,7,1,0
3934.11,Credit Card,Food,0,Mobile,42,1,0
449.93,Wallet,Electronics,0,Mobile,15,0,0
6326.71,UPI,Bills,1,Desktop,33,0,0
2287.24,Wallet,Shopping,0,Desktop,39,0,0
2553.97,Debit Card,Bills,1,Desktop,29,1,0
493.47,Wallet,Shopping,1,Mobile,33,1,1
3682.55,UPI,Food,1,Mobile,27,0,0
4087.1,Wallet,Electronics,0,Mobile,4,0,0
2531.14,UPI,Electronics,1,Desktop,10,0,0
2043.55,Debit Card,Travel,1,Desktop,10,1,1
1256.02,UPI,Bills,0,Mobile,38,0,0
2306.73,Net Banking,Shopping,0,Mobile,47,0,0
5621.23,Credit Card,Shopping,0,Desktop,24,0,0
2778.7,Credit Card,Electronics,1,Mobile,15,1,1
4788.02,UPI,Electronics,1,Desktop,5,1,1
1998.68,Net Banking,Bills,0,Mobile,4,0,0
3843.13,Wallet,Travel,1,Desktop,2,1,0
36.83,Net Banking,Shopping,0,Mobile,51,0,0
3552.01,Net Banking,Shopping,0,Mobile,36,1,0
3778.24,Wallet,Food,0,Mobile,27,0,0
1272.55,Net Banking,Bills,1,Mobile,11,0,0
9588.03,UPI,Food,1,Mobile,40,0,0
